"date","type","dead","injured","location","details","perpetrator","partOf"
"15","Bombing","0","0","Casanare Department and Norte de Santander Department, Colombia","Two oil wells were blown up in the department of Casanare in Colombia.In the department of Norte de Santander terrorist detonated explosives along the Caño Limón–Coveñas pipeline.The explosion only caused material damage.[129]","ELN","Colombian conflict"
"15","Shooting","1 (+2)","2","Patikul, Philippines","Abu Sayyaf militants killed a Philippine Army soldier and wounded two others in a firefight in Patikul in the Philippine province of Sulu. Two terrorists were also killed in the incident.[130][131]","Abu Sayyaf","Moro conflict"
"15","Bombing","0","6","Mueang Yala District, Thailand","Three female students and three local security volunteers were injured when a bomb exploded near a primary school in the Mueang Yala district in Yala province.[132][133]","Barisan Revolusi Nasional (suspected)","South Thailand insurgency"
"15","Car bombing","0","1","Waberi District, Somalia","One person has been injured after an explosive device attached to his vehicle went off in Waberi district.[134]","Al-Shabaab (suspected)","Somali Civil War"
"16","Bombing","0","0","Bogotá, Colombia","A bomb exploded in the Paloquemao sector of Bogotá. The attack did not leave people injured.[135]","ELN","Colombian conflict"
"16","Shooting, grenade attack","0","0","Baramulla district, India","Terrorists shot indiscriminately and lobbed a grenade before escaping from a security forces cordon in Palhallan area of Baramulla district.[136][137]","Jaish-e-Mohammed (suspected)","Insurgency in Jammu and Kashmir"
"16","Shooting, bombing","4","1","Wajir County, Kenya","Four people, including three teachers, were killed while another was injured when Al-Shabaab militants attacked Qarsa Primary School in Wajir County. One security vehicle responding to the attack ran over an explosive, but no officer was injured.[138][139]","Al-Shabaab","Spillover of the war in Somalia"
"16","Bombing","1","0","Bajaur Agency, Pakistan","A leading tribal elder and chief of a local peace committee was killed in a bomb blast in Bajaur Agency.[140]","Tehrik-i-Taliban Pakistan (suspected)","War in North-West Pakistan"
"16","Bombing","2","1","Bari, Somalia","At least two Puntland soldiers were killed in a roadside bomb blast in Galgala Mountains of Bari region. Another was injured in the attack.[141]","Al-Shabaab","Somali Civil War"
"16","Arson","0","0","Los Álamos, Los Sauces and Santa Bárbara, Chile","A series of arson attacks destroyed 26 trucks, one van and three forestry machines in the communes of Los Álamos, Los Sauces and Santa Bárbara in the regions of Araucanía and Bío Bío in Chile.[142][143]","Coordinadora Arauco Malleco","Mapuche conflict"
"16","Bombing","3","Several","Abyan Governorate, Yemen","At least three Yemeni soldiers were killed and several wounded in a roadside bomb explosion in the country's southern province of Abyan.[144]","Al-Qaeda in the Arabian Peninsula","Yemeni Civil War"
"16","Suicide bombings","21 (+3)","70","Konduga, Nigeria","At least 21 persons were killed and 70 civilians injured as three bombers struck Konduga local government area of Borno State.[145]","Boko Haram","Boko Haram insurgency"
"17","Shooting","10","0","Bala Buluk District, Afghanistan","Taliban militants attacked a police checkpoint in Bala Buluk district in Farah, killing at least 10 officers.[146]","Taliban","War in Afghanistan"
