"date","type","dead","injured","location","details","perpetrator","partOf"
"10","Bombing","1","0","Ramadi, Iraq","An Iraqi soldier died while trying to deactivate an explosive device west of the city of Ramadi.[58]","Islamic State","Iraqi Civil War"
"10","Shooting","4","2","Kuchlak, Pakistan","Four people belonging to the Hazara community were killed and two others severely injured in an attack by armed men in the Kuchlak area.[59]","Lashkar-e-Jhangvi (suspected)","Sectarianism in Pakistan"
"11","Shooting","1","0","Balkh province, Afghanistan","A Spanish doctor has been killed during a shooting in a hospital in Mazar-e-Sharif, Balkh province.[60][61]","Taliban (suspected)","War in Afghanistan"
"11","Car bombing, Shooting","10 (+7)","23","Beled Hawa, Somalia","Al-Shabaab militants attacked a Somali military base and police station near the border with Kenya, killing ten soldiers. Additionally, a car bomb exploded in the base with gunmen later storming it.[62][63]","Al-Shabaab","War in Somalia"
"11","Bombings","18","7","Arish, Egypt","A bomb attack hit three Egyptian military convoys, killing at least 18 people including a brigadier general and injuring 7. Islamic State claims responsibility.[64]","Islamic State","Sinai insurgency"
"11","Suicide car bombing","0","5","Bagram, Afghanistan","Five U.S. troops were wounded when a suicide bomber drove a car bomb into an armored convoy outside Bagram Air Base in northern Afghanistan.[65]","Taliban","War in Afghanistan"
"11","Car bombing","1","9","Mogadishu, Somalia","At least one person was killed, and nine others were wounded after a car packed with explosives went off at a busy cafe near Wehliye hotel, close to Dabka junction.[66]","Al-Shabaab (suspected)","War in Somalia"
"11","Rocket attack","0","2","Gao, Mali","A mortar shell hit soldiers at Gao Airport.[67]","Al-Qaeda in the Islamic Maghreb (suspected)","Insurgency in the Maghreb"
"12","Bombings","2","3","Baghdad, Iraq","A paramilitary fighter was killed and two others were wounded when a bomb exploded in a southern Baghdad area. Moreover, a civilian was killed, while another was injured in a bomb blast in east of the capital Baghdad.[68][69]","Islamic State","Iraqi Civil War"
"13","Assassination","1","0","Miraflores, Colombia","A university student, was killed in the last hours by an armed command of the dissident Front of the Farc, in the urban area of the Barranquillita inspection of the municipality of Miraflores, Guaviare.[70][71]","FARC Dissidents","Colombian conflict"
"13","Suicide bombing","3 (+1)","6","Kabul, Afghanistan","Suicide bomber detonated explosives at a check post leading to the cricket stadium where a league match was being played in Kabul.[72]","Taliban (suspected)","War in Afghanistan"
"13","Suicide bombing","4 (+1)","1","Far North Region, Cameroon","A young woman blew herself up in Cameroon’s far north, killing four people and injuring another.[73]","Boko Haram","Boko Haram insurgency"
"13","Shooting","2 (+5)","0 (+2)","Sinai Peninsula, Egypt","Five militants and two soldiers were killed in clashes that erupted after armed men tried to attack a security checkpoint in Sinai province. Two other militants were injured and some others fled the scene.[74]","Islamic State (suspected)","Sinai insurgency"
"13","Bombing","1","8","Bismayah New City, Iraq","An IED exploded near the industrial district in Besmaya village, located on Baghdad-Wassit road, which left a person killed and eight others wounded.[75]","Islamic State","Iraqi Civil War"
"14","Bombing, Shooting","2","27","Yala Province, Thailand","Two soldiers died and 27 other people were wounded, including two civilians, as suspected rebels ambushed an army patrol in Thailand’s violence-stricken deep south.[76]","Barisan Revolusi Nasional (suspected)","South Thailand insurgency"
"14","Suicide car bombing, Shooting","84 (+4)","93","Nasiriyah, Iraq","2017 Nasiriyah attacks: An Islamic State attack caused at least 84 deaths and more than 90 injuries. The first attack struck close to a restaurant while shortly afterwards a car bomb targeted a security checkpoint in the same area, near Nasiriyah in the governorate of Dhi Qar.[77][78][79]","Islamic State","Iraqi Civil War"
"14","Rocket attack, bombing","1","4","Harfa, Syria","One citizen was killed while four others were injured as the terrorist groups targeted with mortar shells and explosive devices the inhabitants of Harfa village in the countryside of Quneitra province of Syria.[80]","Islamic State (suspected)","Syrian Civil War"
"15","Bombing","0","30","London, United Kingdom","Parsons Green bombing: A crude homemade bomb partially exploded on a District line tube train at Parsons Green tube station, London injuring thirty people.[81]","Islamic State","Islamic terrorism in Europe"
"15","Attempted stabbing","0","0","Paris, France","A knife wielding man has attacked a French soldier outside a Metro station in Paris today while praising Allah.[82]","Islamist","Islamic terrorism in Europe"
"15","Car bombing","0","6","Benghazi, Libya","A car bomb wounded six people including four security personnel near a passport office in Benghazi.[83]","Islamic State (suspected)","Libyan Civil War"
"15","Rocket attack","1","1","Deir ez-Zor, Syria","One citizen was killed while another woman was injured in a terrorist attack with mortar shells on al-Joura neighborhood in Deir Ezzor city.[80]","Islamic State","Syrian Civil War"
"15","Suicide car bombing","1 (+1)","2","Kandahar Province, Afghanistan","A Romanian soldier was killed in a Taliban claimed suicide attack on a NATO convoy in southern Afghanistan that also wounded two others.[84]","Taliban","War in Afghanistan"
"15","Arson","0","0","Cadiz City, Negros Occidental, Philippines","Suspected members of the New People’s Army armed with hand grenades, high powered weapons and grenade launchers attacked and damaged 90 solar panels of the biggest solar farm in Southeast Asia located in Cadiz City, Negros Occidental on Thursday night.[85]","New People’s Army","CPP-NPA-NDF conflict"
"16","Shooting","5","5","Badghis Province, Afghanistan","At least five Afghan policemen were killed and five others wounded after Taliban militants attacked a checkpoint in the western Badghis province in Afghanistan.[86]","Taliban","War in Afghanistan"
"16-17","Shooting","8 (+6)","4 (+4)","Ghazni Province, Afghanistan","Eight police and six Taliban insurgents were killed during an hours-long clash in Deh Yak district of southern Ghazni province. Four police and as many Taliban rebels were wounded.[87]","Taliban (suspected)","War in Afghanistan"
"17","Bombing","24","23","Mosul, Iraq","Twenty four people were killed when a booby-trap exploded in a school building west of Mosul, including twelve militants from Tribal Hashid, as they were training in that school.[88][89]","Islamic State","Iraqi Civil War"
"17","Shooting","4","3","Hiran, Somalia","At least four soldiers were killed and three others injured when al-Shabaab militants attacked an army checkpoint in central Somalia.[90]","Al-Shabaab","War in Somalia"
"17","Shooting","5","0","Borno State, Nigeria","A village chief imam and four others were slaughtered by suspected Boko Haram members in Borno State.[91]","Boko Haram","Boko Haram insurgency"
"17","Shooting","1","1","Masbate City, Philippines","Suspected members of the New People's Army killed a 15-year-old student in an attack on soldiers repairing a daycare center in Masbate city. In the same incident one soldier was wounded.[92]","New People's Army","CPP-NPA-NDF conflict"
"18","Suicide bombing","1 (+1)","22","Chaman, Pakistan","At least one person was killed and 22, including security personnel, were injured in a blast near the Pak-Afghan border in Chaman.[93]","Tehrik-i-Taliban Pakistan (suspected)","War in North-West Pakistan"
"18","Suicide bombings","15 (+3)","43","Borno State, Nigeria","At least 15 people have been killed and 43 others injured in a suicide attack on Mashimari village in Borno state.[94]","Boko Haram (suspected)","Boko Haram insurgency"
"18","Bombings","1","2","Baghdad, Iraq","A police member died and two army soldiers were wounded in two bomb blasts in eastern and southern Baghdad.[95]","Islamic State","Iraqi Civil War"
"18","Bombing","1","6","Qamishli, Syria","A booby-trapped motorbike exploded in the northeastern Syrian city of Qamishli on Monday, killing a child and wounding six other people.[96]","Islamic State","Syrian Civil War"
"18","Assassination","1","0","Guaviare Department, Colombia","Suspected members of the FARC's first front, was held responsible for the murder of a 26-year-old man recognized for being a youth leader in his community and opposing the recruitment of minors.[97]","FARC Dissidents (suspected)","Colombian conflict"
"19","Bombing","1","0","Kirkuk Governorate, Iraq","A civilian was killed in a blast as a bomb, planted by Islamic State, exploded in south of Kirkuk.[98]","Islamic State","Iraqi Civil War"
"19","Bombing, Arson","0","2","Antioquia Department, Colombia","Two men armed with explosives that were mobilized in a motorcycle threw two ieds against the station of Police, informed the authorities. At least two policemen were wounded by the shrapnel. In the same region, another group of ELN guerrillas broke into one of the camps of the consortium responsible for the construction of the Puerto Valdivia-Hidroituango road and burned four vehicles.[99]","ELN","Colombian conflict"
"20","Kidnapping","0","10","Sukma district, India","At least ten villagers were abducted by Naxals militants.[100]","Communist Party of India (Maoist)","Naxalite–Maoist insurgency"
"20","Car bombing","1","2","Mogadishu, Somalia","At least one person was killed, and two others were injured in a car bomb explosion in Mogadishu.[101]","Al-Shabaab","War in Somalia"
"20-21","Arson","0","0","La Araucania Region, Chile","Three churches were burned during dawn Wednesday in the communes of Victoria and Ercilla, Region of La Araucanía. These are two Catholic precincts and one evangelical where pamphlets were allusive to the Mapuche cause and in defense of the comuneros who add 106 days on hunger strike.[102][103]","Militants (suspected)","Mapuche conflict"
"21","Bombing, Shooting","4","30","Tral, India","Four civilians were killed and 30 injured after suspected Hizbul Mujahideen attacked the cavalcade of a Jammu and Kashmir minister Naeem Akhtar with grenades and gunfire.[104]","Hizbul Mujahideen (suspected)","Insurgency in Jammu and Kashmir"
"21","Bombing","2","3","Canalete, Cordoba Department, Colombia","According to preliminary information, an explosive device was activated by a police patrol, at least two policemen were killed and three others were wounded in the municipality of Canalete, Córdoba.[105][106]","FARC Dissidents (suspected)","Colombian conflict"
