"date","type","dead","injured","location","details","perpetrator","partOf"
"7","Bombing","2","0","Koro Cercle, Mali","An army convoy hit an explosive device in the Koro Cercle of the Malian Mopti region. Two people were killed in the incident.[63]","Al-Qaeda in the Islamic Maghreb (suspected)","Northern Mali conflict"
"7","Bombing","3","2","Lower Dir District, Pakistan","At least three people, including two policemen, were killed and two injured in a bomb blast in Khyber Pakhtunkhwa's Lower Dir District in Pakistan.[64][65]","Tehrik-i-Taliban Pakistan","War in North-West Pakistan"
"7","Shooting","4","0","Sukhirin District, Thailand","Four villagers were shot while panning for gold in the Suchirin district in the Thai province of Narathiwat.[66][67]","Barisan Revolusi Nasional (suspected)","South Thailand insurgency"
"7","Shooting","22","0","As-Suwayda Governorate, Syria","Islamic state militants killed 22 pro-regime fighters in an attack in the southern Syrian province of As-Suwayda.[68]","Islamic State","Syrian Civil War"
"7","Shooting","1","0","Convención, Colombia","A sniper from the National Liberation Army killed a Colombian soldier in the village of Carrizal in the municipality of Convención in the Colombian department of Norte de Santander.[69]","ELN","Colombian conflict"
"8","Shooting, stabbing","10 (+4)","0","Diamaré, Cameroon","At least 10 people were killed in attacks in villages in the department of Diamaré in the far north of Cameroon. Four Boko Haram terrorists were also killed.[70][71][72]","Boko Haram","Boko Haram insurgency"
"8","Bombing","1","14","Kirkuk, Iraq","A woman was killed and 14 people, including women and children, were wounded when a bomb exploded in the Iraqi city of Kirkuk.[73]","Islamic State (suspected)","Iraqi insurgency"
"8","Shooting, mortar attack","1","5","Jamame District, Somalia","A US special forces soldier was killed and four other US soldiers and a Somali soldier were wounded in an attack by Al-Shabaab militants near the town of Jamame in southern Somalia.[74][75]","Al-Shabaab","Somali Civil War"
"8","Shooting, suicide bombings","30 (+10)","0","Abu Kamal, Syria","30 Syrian pro-regime fighters were killed when at least ten suicide bombers attacked the city of Abu Kamal in the Deir ez-Zor province.[76]","Islamic State","Syrian Civil War"
"8-9","Shootings","65","17","Shah Wali Kot District, Qalay-I-Zal District and Shindand District, Afghanistan","Taliban insurgents killed as many as 65 government soldiers and police officers in attacks in the districts of Shah Wali Kot, Qalay-I-Zal and Shindand in three Afghan provinces. At least 17 security forces were injured in the incidents.[77][78]","Taliban","War in Afghanistan"
"9","Arson","0","0","Curacautín, Chile","An arson attack was reported an employer's house located on the route between Victoria and Curacautín. At least ten gunmen arrived to the site, threatened the guards thatwere in the area and attacked the house with petrol bombs. A banner was found at the site where the group ""Resistencia Mapuche Malleco"" claimed the attack.[79]","Resistencia Mapuche Malleco","Mapuche conflict"
"9","Bombing","2","20","Al Khalis, Iraq","Two people was killed and 20 others were injured when a bomb exploded at a popular market in the town of Al Khalis in the Iraqi province of Diyala.[80][81][82]","Islamic State","Iraqi insurgency"
"9","Shooting, bombing","3 (+13)","3","Boni and Dallah, Mali","Terrorists attacked an army checkpoint in the village of Boni in the Douentza Cercle of the Malian Mopti region. A vehicle carrying reinforcements from Douentza hit a mine in the village of Dallah in the same region. Three soldiers and thirteen fighters were killed and three others injured in both incidents.[83][84][85]","Al-Qaeda in the Islamic Maghreb (suspected)","Northern Mali conflict"
"9","Suicide bombing","0 (+1)","0","Maiduguri, Nigeria","A male suicide bomber detonated a bomb attached to his body, killing only himself in Maiduguri in the Nigerian state of Borno.[86]","Boko Haram","Boko Haram insurgency"
"9","Suicide car bombing","0 (+2)","7","Kismayo District, Somalia","Two terrorists were killed and seven soldiers injured in a suicide car bomb explosion at a military base near the Somali city of Kismayo.[87][88]","Al-Shabaab","Somali Civil War"
"10","Shooting, Clashes","9","18","Oshnavieh, Iran","PDKI peshmergas claimed killed nine and injured 18 members of the Iranian Revolutionary Guards Corps in a clash on Friday near an Iran-Iraq border town.[89][90]","Democratic Party of Iranian Kurdistan","Western Iran clashes"
"10","Shooting, kidnapping","2","15","Kirkuk Governorate, Iraq","Islamic State militants abducted five people, including a Kurdish Peshmerga, and killed two and wounded ten members of the Iranian-backed Shia Hashd al-Shaabi, in separate incidents in the Iraqi province of Kirkuk.[91]","Islamic State","Iraqi insurgency"
"11","Shooting","1","0","Furu-Awa, Cameroon","A Cameroonian soldier was killed in an ambush in the town of Furu-Awa in the Menchum Department.[92]","Ambazonia Defence Forces","Anglophone crisis"
"11","Bombing","0","10","Anantnag, India","Militants threw a grenade against an army camp injuring ten Central Reserve Police Force jawans who sustained minor injuries [93][94]","Jaish-e-Mohammed (suspected)","Insurgency in Jammu and Kashmir"
"11","Suicide bombing","2 (+1)","4","Maiduguri, Nigeria","At least two people were killed and four others injured when a Boko Haram suicide bomber detonated his explosives in the city of Maiduguri in the Nigerian state of Borno.[95]","Boko Haram","Boko Haram insurgency"
"11","Shooting","2","0","Pulwama district, India","Two policemen were killed when terrorist  opened fired on a police guard post, deployed at District court complex in Pulwama in Jammu and Kashmir.[96][97]","Jaish-e-Mohammed (suspected)","Insurgency in Jammu and Kashmir"
"11","Suicide bombing","17 (+1)","40","Kabul, Afghanistan","At least 17 people were killed and 40 others seriously injured after a suicide bomber detonated his explosives at an Afghan ministry in Kabul.[98][99]","Islamic State","War in Afghanistan"
"11","Bombing","6","3","Jaghatū District, Afghanistan","Six civilians were killed and three others injured in a landmine explosion in the Jaghatū district of the southern Afghan province of Ghazni.[100]","Taliban (suspected)","War in Afghanistan"
"11","Shooting","15","0","Qalay-I-Zal District, Afghanistan","15 members of the Afghan security forces were killed when Taliban fighters attacked their security post in Qalay-I-Zal district in the northern province of Kunduz.[101]","Taliban","War in Afghanistan"
"11","Shooting","1","0","Sirajdikhan Upazila, Bangladesh","Shahzahan Bachchu, a well-known writer and publisher, was shot dead by assailants on motorcycles in the village of Kakaldi in the Sirajdikhan Upazila of the Munshiganj District in the Dhaka Division in Bangladesh.[102][103]","Jamaat-ul-Mujahideen Bangladesh","Terrorism in Bangladesh"
"11","Shootings, bombing","3","13","Kirkuk Governorate, Iraq","Islamic state militants opened fire on a security checkpoint manned by members of al-Hashd al-Ashaeri in the Iraqi province of Kirkuk. Three Sunni fighters were injured in the attack. When medics rushed to the scene to help the injured, a bomb exploded, killing two people and injuring ten others. In another incident in the same province, a civilian was shot and killed.[104]","Islamic State","Iraqi insurgency"
"11","Stabbing","0","1","Afula, Israel","An 18-year-old woman was stabbed several times by a Palestinian terrorist in the Israeli city of Afula.[105]","Palestinian nationalist","Israeli–Palestinian conflict"
"11","Shooting, stabbing, arson","4","0","Nangade District, Mozambique","Terrorists armed with machetes and firearms attacked the village of Changa in the Nangade district in the northern Mozambican province of Cabo Delgado, killing four people. The attackers also burned down several houses.[106]","Ansar al-Sunna","Islamist insurgency in Mozambique"
"11","Shooting","0","6","Satipo Province, Peru","A group of terrorists attacked a military base in the town of Mazángaro in the province of Satipo in Peru. Six soldiers were injured in the shooting.[107]","Shining Path","Internal conflict in Peru"
"11","Suicide bombing","2 (+1)","3","Derna, Libya","A suicide bomber detonated his explosives in the Libyan city of Derna, killing two fighters of Haftar's Libyan National Army and wounding three others.[108]","Derna Protection Force","Libyan Civil War"
"11","Shooting","5","0","Bannang Sata District, Thailand","Shooters stormed into a house and shot five people dead in the Bannang Sata district of Yala province in Thailand.[109][110]","Barisan Revolusi Nasional (suspected)","South Thailand insurgency"
"12","Shooting","1","1","Guihulngan, Philippines","Members of the New People's Army shot dead aa civilian and a newly-elected barangay chairman was critically injured.[111]","New People's Army","Communist rebellion in the Philippines"
"12","Shooting, hostage taking","14","25","Sayyad District, Afghanistan","The Taliban killed at least 14 members of Afghanistan's security forces in an attack in the Sayyad district of Sar-e Pol province. 25 others were wounded during the attack and four of the injured soldiers were taken hostage by the insurgents.[112]","Taliban","War in Afghanistan"
"12","Shooting","13","16","Kohistan District, Afghanistan","13 security personnel, including the district administrative chief, were killed and 16 others injured when Taliban militants attacked the district center of the Kohistan district in the northwestern province of Faryab, Afghanistan.[113][114]","Taliban","War in Afghanistan"
"12","Suicide car bombing","5 (+1)","26","Muqur District, Afghanistan","At least five policemen were killed and 26 others, including a governor and 18 policemen, were wounded by a suicide bomber using a military Humvee in the Muqur district of the eastern Afghan province of Ghazni.[115]","Taliban (suspected)","War in Afghanistan"
