"date","type","dead","injured","location","details","perpetrator","partOf"
"30","Shooting","0","0","Shopian district, India","Militants opened fire a police patrol in Shopian damaging the vehicle slightly, although the police men retaliated forcing the militants to flee.[366]","Jaish-e-Mohammed (suspected)","Insurgency in Jammu and Kashmir"
"30","Shooting","3 (+2)","2","Dantewada district, India","2 cops and a camera man were killed and 2 others were injured in a Maoist attack on a police patrol in the Dantewada district. 2 Maoists were also killed.[367][368]","CPI","Naxalite–Maoist insurgency"
"30","Bombing","1","0","Balrampur district, India","A 65 year old villager died when a bomb placed by Naxals exploded while he was farming. The attack occurred in the Balrampur District.[369]","CPI","Naxalite–Maoist insurgency"
"30","Bombing","1","2","Mosul, Iraq","A bomb exploded while children were playing in a courtyard of a mosque resulted in the death of one of the children and the injury of 2 others.[370]","Islamic State (suspected)","Iraqi insurgency"
"30","Shooting","1","0","Baghdad, Iraq","Several unidentified gunmen opened fire on a civilian in the capital of Iraq, Baghdad, killing the civilian.[371]","Islamic State (suspected)","Iraqi insurgency"
"30","Bombing","0","1","North Waziristan, Pakistan","A teenager was injured when a toy bomb detonated in the Serai Derpakhel area of North Waziristan, Pakistan.[372]","Tehrik-i-Taliban Pakistan","War in North-West Pakistan"
"30","Shooting","0","1","Guihulngan, Philippines","A cop was wounded when suspected New People's Army rebels attacked police detachments in the city of Guihulngan.[373]","New People's Army","Communist rebellion in the Philippines"
"30-31","Shooting","15","20","Jonglei State, South Sudan","Murle gunmen killed at least 15 people and injured an additional 20 in attacks targeting cattle herders and rival ethnic people in South Sudan's Jonglei State.[374]","Murle Gunmen","Ethnic violence in South Sudan"
"31","Suicide bombing","0 (+1)","3","Arkhangelsk, Russia","A man set off a bomb at the entrance of Russia's main intelligence agency, killing himself and injuring three security officials.[375]","Anarchist","Terrorism in Russia"
"31","Suicide bombing","7 (+1)","5","Kabul, Afghanistan","A suicide bomber targeting a bus carrying employees of Afghanistan's biggest prison in Kabul detonated killing 7 and injuring an additional 5. The Islamic State claimed responsibility for the attack.[376][377]","Islamic State","War in Afghanistan"
"31","Bombing","4","0","Dhale Governorate, Yemen","A roadside bomb placed by militants struck a vehicle carrying Yemeni policemen killing 4 policemen instantly in al-Dhalea, local security forces blamed the attack on Al-Qaeda.[378]","Al-Qaeda in the Arabian Peninsula","Yemeni Civil War"
"31","Bombing","2","0","Suran, Syria","Two children were killed by the explosion of a land mine in the Souran city in Hama governorate northern suburbs.[379]","Militants (suspected)","Syrian Civil War"
"31","Bombing","1","1","Makhmur, Iraq","A man was killed and his son was injured in a suspected Islamic State attack near a shrine in the town of Makhmur, Iraq.[380]","Islamic State (suspected)","Iraqi insurgency"
"31","Shooting","1","0","Mogadishu, Somalia","A radio journalist was gunned down by suspected Al-Shabaab militants in Mogadishu while afternoon prayers in a mosque.[381]","Al-Shabaab","Somali Civil War"
"31","Shooting","5","3","Gwadar District, Pakistan","Multiple gunmen opened fire at workers who were, working at an under-construction house of a private housing scheme on Peshkan-Ganz road, which links Gwadar with Jewani. The attack killed 5 people and injured at least 3 more, Balochistan Liberation Army claimed responsibility.[382]","Balochistan Liberation Army","Insurgency in Balochistan"
