"date","type","dead","injured","location","details","perpetrator","partOf"
"4","Shooting","1 (+2)","0","Qazigund, Kashmir, India","A soldier was killed after militants attacked an army patrol in Qazigund area of south Kashmir. The two attackers were killed by the security forces.[17]","Jammu Kashmir Liberation Front (suspected)","Insurgency in Jammu and Kashmir"
"4","Assassination","1","0","Puerto Asís, Colombia","Is assassinated Luis Alfonso Giraldo, president of the Community Action Board of the village La Brasilia, La Carmelita corregimiento, in Putumayo.[18]","FARC Dissidents or Paramilitaries (suspected)","Colombian conflict"
"5","Bombing","8","16","Homs, Syria","A bomb blast killed 8 people and injured 16 others on a bus in Syria's Homs city.[19]","Islamic State","Syrian Civil War"
"5","Bombing, Car bombing","2","1","Baghdad, Iraq","Two persons were killed and another injured in two explosions in Baghdad.[20]","Islamic State (suspected)","Iraqi Civil War"
"5","Suicide bombing","6 (+1)","9","Mir Ali, Pakistan","Six civilians were killed and nine others were injured in an attack carried out by a suicide bomber in Mir Ali. The target of the attack was a security convoy.[21]","Tehrik-e-Taliban Pakistan (suspected)","War in North-West Pakistan"
"6","Shooting, Kidnapping","6","4","Kirkuk, Iraq","Five people were killed and four others kidnapped in an armed attack in southwest Kirkuk. Furthermore, a policeman was killed in a drive-by shooting in Kirkuk city.[22][23]","Islamic State","Iraqi Civil War"
"6","Execution","1","0","Rajasthan, India","A Muslim man was burned alive by a Hindu extremist in Rajasthan, India. The attacker has released a video of the act.[24]","Hindu Nationalist (suspected)","Terrorism in India"
"6","Shooting","0","1","Kondagaon district, India","A soldier was injured during an attack against the security forces, perpetrated by the naxals.[25]","CPI","Naxalite-Maoist insurgency"
"7","Shooting","1","1","Baghdad, Iraq","One Iraqi was killed and another one was wounded when armed gunmen shot at them in northern Baghdad.[26]","Islamic State (suspected)","Iraqi Civil War"
"6","Bombing","0","5","Ra-ngae District Thailand","At least five security forece were wounded which a roadside bomb detonate in Ra-ngae District, province of Narathiwat.[27]","Islamist","South Thailand Insurgency"
"7","Melee attack","0","0 (+1)","Amsterdam, Netherlands","A man carrying a Palestinian flag attacked a Jewish restaurant in Amsterdam with a club while shouting 'Allahu akbar'. There were no injuries in the attack, but the restaurant's windows were destroyed, as two police officers looked on without intervening.[28] The attacker, a 29-year-old Syrian, was released by Dutch authorities on December 20, despite evidence that the man had acted as a trained combatant in Syria's civil war, and despite his claims that he would again resort to violence if sufficiently angered, and despite his statement to the Dutch court that his attack on the restaurant was ""only the first step."" [29]","Palestinian Nationalist","Terrorism in Europe"
"7","Bombing","0","0","Rome, Italy","A bomb detonated in front of the Carabinieri headquarters in Vía Britannia, no one was injured. Later in a website the group  Federazione Anarchica Informale claim responsibility for the attack and calling for break ""the fake peace"".[30][31]","Informal Anarchist Federation","Terrorism in Italy"
"8","Bombing","0","5","Baghdad, Iraq","Five civilians were wounded in a bomb blast in the south of Baghdad.[32]","Islamic State (suspected)","Iraqi Civil War"
"8","Bombing","1","2","Anbar, Iraq","An army officer was killed, while two other soldiers were wounded as a booby-trapped house exploded in western Anbar.[33]","Islamic State","Iraqi Civil War"
"8","Shooting","19","53","North Kivu, Democratic Republic of Congo","2017 Semuliki attack: At least 14 UN peacekeepers were killed and 53 wounded in an attack in the east of the Democratic Republic of Congo. Five soldiers were also killed during the attack. The attack was described as the worst on UN peacekeepers in recent history.[34]","Allied Democratic Forces","Allied Democratic Forces insurgency"
"8","Bombing","1","8","Nangarhar province, Afghanistan","An explosion inside a mosque in Nangarhar province, the east of Afghanistan, left one dead and at least eight others wounded.[35]","Turkistan Islamic Party (suspected)","War in Afghanistan"
"8","Bombing","4","0","Mosul, Iraq","Four police officers were killed in a bomb blast in southern Mosul.[36]","Islamic State (suspected)","Iraqi Civil War"
"8","Rocket attacks","0","2","Sderot, Israel","Three rockets were fired from Gaza to Israel during the Palestine clashes for the recognition of Jerusalem as the capital of Israel. One of the projectiles landed in Sderot and injured two people. The other two projectiles exploded in the sky. Al-Aqsa Martyrs' Brigades claimed the incident.[37][38]","Al-Aqsa Martyrs' Brigades","Israeli–Palestinian conflict"
"9","Shooting","1","0","Salvador Benedicto, Philippines","A former commander of the RPA-ABB, was shot dead by suspected leftist militants, in the province Negros Occidental.[39]","RPA-ABB","CPP-NPA-NDF conflict"
"9","Car bombing","2","2","Tikrit, Iraq","A car parked in central Tikrit exploded, killing two and injuring two others. A number of shops were damaged in the bombing.[40]","Islamic State","Iraqi insurgency"
"9","Shooting","7","0","Suárez, Cauca, Colombia","At least seven people were killed in an encounter between FARC dissidents and other groups in Suárez, Cauca.[41][42]","FARC dissidents","Colombian conflict"
"9","Bombings","2","7","Baghdad, Iraq","Several explosions hit different places in Baghdad. Loyalists of the Iraqi regime are suspected behind the attacks.[43][44]","Supreme Command for Jihad and Liberation (suspected)","Iraqi insurgency"
